Wuh,Wuh,black
E_Mex_1,E_Mex,turquoise
E_Mex_2,E_Mex,turquoise
E_Mex_3,E_Mex,turquoise
E_Mex_4,E_Mex,turquoise
E_Mex_5,E_Mex,turquoise
E_Mex_6,E_Mex,turquoise
E_Mex_7,E_Mex,turquoise
E_Mex_8,E_Mex,turquoise
E_Mex_9,E_Mex,turquoise
E_Mex_10,E_Mex,turquoise
E_Mex_11,E_Mex,turquoise
E_Mex_12,E_Mex,turquoise
E_Mex_13,E_Mex,turquoise
E_Mex_14,E_Mex,turquoise
E_Mex_15,E_Mex,turquoise
E_Mex_16,E_Mex,turquoise
E_Mex_17,E_Mex,turquoise
E_Mex_18,E_Mex,turquoise
E_Mex_19,E_Mex,turquoise
E_Mex_20,E_Mex,turquoise
CDMX_1,CDMX,purple3
CDMX_2,CDMX,purple3
CDMX_3,CDMX,purple3
CDMX_4,CDMX,purple3
CDMX_5,CDMX,purple3
CDMX_6,CDMX,purple3
CDMX_7,CDMX,purple3
CDMX_8,CDMX,purple3
CDMX_9,CDMX,purple3
CDMX_10,CDMX,purple3
CDMX_11,CDMX,purple3
CDMX_12,CDMX,purple3
CDMX_13,CDMX,purple3
CDMX_14,CDMX,purple3
CDMX_15,CDMX,purple3
CDMX_16,CDMX,purple3
CDMX_17,CDMX,purple3
CDMX_18,CDMX,purple3
CDMX_19,CDMX,purple3
CDMX_20,CDMX,purple3
Jal_1,Jal,mediumspringgreen
Jal_2,Jal,mediumspringgreen
Jal_3,Jal,mediumspringgreen
Jal_4,Jal,mediumspringgreen
Jal_5,Jal,mediumspringgreen
Jal_6,Jal,mediumspringgreen
Jal_7,Jal,mediumspringgreen
Jal_8,Jal,mediumspringgreen
Jal_9,Jal,mediumspringgreen
Jal_10,Jal,mediumspringgreen
Jal_11,Jal,mediumspringgreen
Jal_12,Jal,mediumspringgreen
Jal_13,Jal,mediumspringgreen
Jal_14,Jal,mediumspringgreen
Jal_15,Jal,mediumspringgreen
Jal_16,Jal,mediumspringgreen
Jal_17,Jal,mediumspringgreen
Jal_18,Jal,mediumspringgreen
Jal_19,Jal,mediumspringgreen
Jal_20,Jal,mediumspringgreen
Ver_1,Ver,lightpink1
Ver_2,Ver,lightpink1
Ver_3,Ver,lightpink1
Ver_4,Ver,lightpink1
Ver_5,Ver,lightpink1
Ver_6,Ver,lightpink1
Ver_7,Ver,lightpink1
Ver_8,Ver,lightpink1
Ver_9,Ver,lightpink1
Ver_10,Ver,lightpink1
Ver_11,Ver,lightpink1
Ver_12,Ver,lightpink1
Ver_13,Ver,lightpink1
Ver_14,Ver,lightpink1
Ver_15,Ver,lightpink1
Ver_16,Ver,lightpink1
Ver_17,Ver,lightpink1
Ver_18,Ver,lightpink1
Ver_19,Ver,lightpink1
Ver_20,Ver,lightpink1
Pue_1,Pue,sienna1
Pue_2,Pue,sienna1
Pue_3,Pue,sienna1
Pue_4,Pue,sienna1
Pue_5,Pue,sienna1
Pue_6,Pue,sienna1
Pue_7,Pue,sienna1
Pue_8,Pue,sienna1
Pue_9,Pue,sienna1
Pue_10,Pue,sienna1
Pue_11,Pue,sienna1
Pue_12,Pue,sienna1
Pue_13,Pue,sienna1
Pue_14,Pue,sienna1
Pue_15,Pue,sienna1
Pue_16,Pue,sienna1
Pue_17,Pue,sienna1
Pue_18,Pue,sienna1
Pue_19,Pue,sienna1
Pue_20,Pue,sienna1
Gua_1,Gua,magenta
Gua_2,Gua,magenta
Gua_3,Gua,magenta
Gua_4,Gua,magenta
Gua_5,Gua,magenta
Gua_6,Gua,magenta
Gua_7,Gua,magenta
Gua_8,Gua,magenta
Gua_9,Gua,magenta
Gua_10,Gua,magenta
Gua_11,Gua,magenta
Gua_12,Gua,magenta
Gua_13,Gua,magenta
Gua_14,Gua,magenta
Gua_15,Gua,magenta
Gua_16,Gua,magenta
Gua_17,Gua,magenta
Gua_18,Gua,magenta
Gua_19,Gua,magenta
Gua_20,Gua,magenta
NL_1,NL,darkred
NL_2,NL,darkred
NL_3,NL,darkred
NL_4,NL,darkred
NL_5,NL,darkred
NL_6,NL,darkred
NL_7,NL,darkred
NL_8,NL,darkred
NL_9,NL,darkred
NL_10,NL,darkred
NL_11,NL,darkred
NL_12,NL,darkred
NL_13,NL,darkred
NL_14,NL,darkred
NL_15,NL,darkred
NL_16,NL,darkred
NL_17,NL,darkred
NL_18,NL,darkred
NL_19,NL,darkred
NL_20,NL,darkred
Chi_1,Chi,navyblue
Chi_2,Chi,navyblue
Chi_3,Chi,navyblue
Chi_4,Chi,navyblue
Chi_5,Chi,navyblue
Chi_6,Chi,navyblue
Chi_7,Chi,navyblue
Chi_8,Chi,navyblue
Chi_9,Chi,navyblue
Chi_10,Chi,navyblue
Chi_11,Chi,navyblue
Chi_12,Chi,navyblue
Chi_13,Chi,navyblue
Chi_14,Chi,navyblue
Chi_15,Chi,navyblue
Chi_16,Chi,navyblue
Chi_17,Chi,navyblue
Chi_18,Chi,navyblue
Chi_19,Chi,navyblue
Chi_20,Chi,navyblue
Mich_1,Mich,darkgoldenrod1
Mich_2,Mich,darkgoldenrod1
Mich_3,Mich,darkgoldenrod1
Mich_4,Mich,darkgoldenrod1
Mich_5,Mich,darkgoldenrod1
Mich_6,Mich,darkgoldenrod1
Mich_7,Mich,darkgoldenrod1
Mich_8,Mich,darkgoldenrod1
Mich_9,Mich,darkgoldenrod1
Mich_10,Mich,darkgoldenrod1
Mich_11,Mich,darkgoldenrod1
Mich_12,Mich,darkgoldenrod1
Mich_13,Mich,darkgoldenrod1
Mich_14,Mich,darkgoldenrod1
Mich_15,Mich,darkgoldenrod1
Mich_16,Mich,darkgoldenrod1
Mich_17,Mich,darkgoldenrod1
Mich_18,Mich,darkgoldenrod1
Mich_19,Mich,darkgoldenrod1
Mich_20,Mich,darkgoldenrod1
Oax_1,Oax,lightcoral
Oax_2,Oax,lightcoral
Oax_3,Oax,lightcoral
Oax_4,Oax,lightcoral
Oax_5,Oax,lightcoral
Oax_6,Oax,lightcoral
Oax_7,Oax,lightcoral
Oax_8,Oax,lightcoral
Oax_9,Oax,lightcoral
Oax_10,Oax,lightcoral
Oax_11,Oax,lightcoral
Oax_12,Oax,lightcoral
Oax_13,Oax,lightcoral
Oax_14,Oax,lightcoral
Oax_15,Oax,lightcoral
Oax_16,Oax,lightcoral
Oax_17,Oax,lightcoral
Oax_18,Oax,lightcoral
Oax_19,Oax,lightcoral
Oax_20,Oax,lightcoral
