hCoV-19/Mexico/EDM4	1	hCoV-19/Mexico/EDM3
hCoV-19/Mexico/JLsc11	1	hCoV-19/Mexico/JLsc8
hCoV-19/Mexico/Vrcz5	1	hCoV-19/Mexico/JLsc19
hCoV-19/Mexico/Vrcz6	1	hCoV-19/Mexico/Vrcz4
hCoV-19/Mexico/Vrcz10	1	hCoV-19/Mexico/Vrcz4
hCoV-19/Mexico/Pbla7	1	hCoV-19/Mexico/Vrcz5
hCoV-19/Mexico/Pbla8	1	hCoV-19/Mexico/Vrcz4
hCoV-19/Mexico/Pbla10	1	hCoV-19/Mexico/Vrcz2
hCoV-19/Mexico/Pbla10	1	hCoV-19/Mexico/Pbla8
hCoV-19/Mexico/Pbla12	1	hCoV-19/Mexico/Vrcz5
hCoV-19/Mexico/Pbla20	1	hCoV-19/Mexico/EDM18
hCoV-19/Mexico/Pbla20	1	hCoV-19/Mexico/Pbla10
hCoV-19/Mexico/Gto3	1	hCoV-19/Mexico/Vrcz5
hCoV-19/Mexico/Gto10	1	hCoV-19/Mexico/Vrcz2
hCoV-19/Mexico/Gto18	1	hCoV-19/Mexico/Gto13
hCoV-19/Mexico/Gto19	1	hCoV-19/Mexico/Vrcz5
hCoV-19/Mexico/Gto20	1	hCoV-19/Mexico/Gto14
hCoV-19/Mexico/NvLn2	1	hCoV-19/Mexico/JLsc15
hCoV-19/Mexico/NvLn9	1	hCoV-19/Mexico/Vrcz5
hCoV-19/Mexico/NvLn13	1	hCoV-19/Mexico/Vrcz2
hCoV-19/Mexico/NvLn17	1	hCoV-19/Mexico/Vrcz5
hCoV-19/Mexico/Chps1	1	hCoV-19/Mexico/Vrcz5
hCoV-19/Mexico/Chps1	1	hCoV-19/Mexico/Pbla5
hCoV-19/Mexico/Chps1	1	hCoV-19/Mexico/Gto15
hCoV-19/Mexico/Chps1	1	hCoV-19/Mexico/NvLn2
hCoV-19/Mexico/Chps3	1	hCoV-19/Mexico/Chps2
hCoV-19/Mexico/Chps4	1	hCoV-19/Mexico/NvLn14
hCoV-19/Mexico/Chps5	1	hCoV-19/Mexico/Pbla4
hCoV-19/Mexico/Chps11	1	hCoV-19/Mexico/Chps9
hCoV-19/Mexico/Chps11	1	hCoV-19/Mexico/Chps10
hCoV-19/Mexico/Chps19	1	hCoV-19/Mexico/Vrcz5
hCoV-19/Mexico/Mich7	1	hCoV-19/Mexico/Mich6
hCoV-19/Mexico/Mich15	1	hCoV-19/Mexico/Mich9
hCoV-19/Mexico/Mich16	1	hCoV-19/Mexico/EDM19
hCoV-19/Mexico/Mich20	1	hCoV-19/Mexico/Mich16
hCoV-19/Mexico/Oaxc2	1	hCoV-19/Mexico/Vrcz5
hCoV-19/Mexico/Oaxc9	1	hCoV-19/Mexico/Pbla10
